sample	population
SRR20748484	AM11
SRR20748309	AM6
SRR20748298	AM4
SRR20748411	AM11
SRR20748400	AM4
SRR20748389	AM4
SRR20748335	AM4
SRR20748482	AM4
SRR20748471	AM11
SRR20748460	AM11
SRR20748438	AM11
SRR20748427	AM11
SRR20748384	AM11
SRR20748362	AM8
SRR20748323	AM7
SRR20748318	AM6
SRR20748317	AM11
SRR20748316	AM3
SRR20748315	AM10
SRR20748314	AM7
SRR20748313	AM10
SRR20748308	AM8
SRR20748307	AM6
SRR20748306	AM6
SRR20748305	AM10
SRR20748303	AM10
SRR20748302	AM10
SRR20748300	AM11
SRR20748296	AM10
SRR20748295	AM10
SRR20748294	AM10
SRR20748293	AM10
SRR20748416	AM10
SRR20748415	AM10
SRR20748414	AM10
SRR20748413	AM10
SRR20748410	AM10
SRR20748408	AM10
SRR20748407	AM10
SRR20748406	AM9
SRR20748403	AM10
SRR20748402	AM3
SRR20748401	AM8
SRR20748399	AM8
SRR20748398	AM8
SRR20748396	AM7
SRR20748395	AM8
SRR20748392	AM11
SRR20748391	AM9
SRR20748390	AM9
SRR20748388	AM9
SRR20748387	AM9
SRR20748386	AM9
SRR20748352	AM9
SRR20748351	AM9
SRR20748350	AM9
SRR20748349	AM3
SRR20748347	AM9
SRR20748345	AM9
SRR20748344	AM9
SRR20748343	AM3
SRR20748342	AM9
SRR20748341	AM9
SRR20748340	AM9
SRR20748339	AM11
SRR20748459	AM3
SRR20748458	AM8
SRR20748455	AM8
SRR20748443	AM1
SRR20748442	AM1
SRR20748441	AM1
SRR20748440	AM1
SRR20748439	AM1
SRR20748437	AM11
SRR20748436	AM6
SRR20748434	AM1
SRR20748433	AM6
SRR20748432	AM6
SRR20748430	AM6
SRR20748429	AM6
SRR20748428	AM11
SRR20748425	AM11
SRR20748424	AM6
SRR20748423	AM6
SRR20748422	AM6
SRR20748421	AM6
SRR20748420	AM1
SRR20748419	AM1
SRR20748417	AM6
SRR20748383	AM1
SRR20748381	AM6
SRR20748380	AM7
SRR20748379	AM8
SRR20748374	AM6
SRR20748372	AM1
SRR20748371	AM1
SRR20748370	AM11
SRR20748369	AM1
SRR20748364	AM6
SRR20748363	AM1
SRR20748361	AM6
SRR20748358	AM1
SRR20748357	AM11
SRR20748354	AM1
SRR20748322	AM1
SRR20748321	AM1
SRR20748310	AM11
SRR20748450	AM11
ERR205800	AM12
SRR7970013	AM8
SRR7970015	AM8
SRR7970016	AM8
SRR7970020	AM6
SRR7970024	AM1
SRR7970026	AM1
SRR7970027	AM6
SRR7970028	AM7
SRR7970029	AM6
SRR7970030	AM7
SRR7970031	AM8
SRR7970034	AM8
SRR10478767	AM2
SRR10478771	AM2
SRR10478772	AM2
SRR10478774	AM2
SRR10478777	AM2
SRR10478778	AM2
SRR10478781	AM2
SRR10478782	AM2
SRR10478783	AM2
SRR10478784	AM2
SRR10478786	AM2
SRR10478787	AM2
SRR10478789	AM2
SRR10478792	AM2
SRR10478793	AM2
SRR10478795	AM2
SRR10478796	AM2
SRR12506670	AM5
SRR12506671	AM11
SRR12506673	AM11
SRR12506678	AM5
SRR12506679	AM4
SRR12506681	AM4
SRR12506684	AM4
SRR12506685	AM4
SRR12506686	AM4
SRR12506688	AM4
SRR12506689	AM4
SRR12506692	AM5
SRR12506693	AM5
SRR12506694	AM11
SRR12506695	AM5
SRR12506696	AM5
SRR12506697	AM3
SRR12506698	AM11
SRR12506701	AM10
SRR12506702	AM10
SRR12506703	AM10
SRR12506705	AM11
SRR12506706	AM10
SRR12506707	AM10
SRR12506708	AM10
SRR12506709	AM10
SRR12506710	AM10
SRR12506711	AM10
SRR12506716	AM11
SRR12506718	AM5
SRR12506719	AM5
SRR12506720	AM5
SRR12506721	AM5
SRR12506722	AM5
SRR12506723	AM5
SRR12506724	AM5
SRR12506726	AM5
SRR13744648	AM2
SRR13744626	AM2
SRR13744604	AM2
SRR13744593	AM2
SRR13744679	AM2
SRR13744678	AM2
SRR13744677	AM2
SRR13744676	AM2
SRR13744675	AM2
SRR13744674	AM2
SRR13744672	AM2
SRR13744671	AM2
SRR13744669	AM2
SRR13744668	AM2
SRR13744667	AM2
SRR13744666	AM2
SRR13744665	AM2
SRR13744662	AM2
SRR13744661	AM2
SRR13744660	AM2
SRR13744657	AM2
SRR13744656	AM2
SRR13744654	AM2
SRR13744653	AM2
SRR13744652	AM2
SRR13744650	AM2
SRR13744649	AM2
SRR13744647	AM2
SRR13744645	AM2
SRR13744682	AM7
SRR13744681	AM8
SRR13744638	AM8
SRR13744636	AM8
SRR13744635	AM8
SRR13744634	AM8
SRR13744633	AM8
SRR13744632	AM8
SRR13744630	AM8
SRR13744629	AM8
SRR13744628	AM7
SRR13744625	AM7
SRR13744619	AM6
SRR13744618	AM7
SRR13744617	AM8
SRR13744612	AM8
SRR13744610	AM8
SRR13744608	AM8
SRR13744607	AM8
SRR13744605	AM8
SRR13744603	AM6
SRR13744599	AM8
SRR13744597	AM8
SRR13744596	AM8
SRR13744594	AM3
SRR16972343	AM8
SRR16972341	AM3
SRR16972339	AM8
SRR16972338	AM8
SRR16972311	AM3
SRR16972314	AM8
SRR16972316	AM8
SRR16972319	AM8
SRR16972321	AM8
SRR16972322	AM8
SRR16972324	AM11
ERR205763	AM12
ERR205788	AM12
SRR8608748	AM13
ERR205787	AM13
