sample	population
SRR20748484	LI1
SRR20748320	LI6
SRR20748298	LI5
SRR20748400	LI5
SRR20748389	LI5
SRR20748346	LI10
SRR20748335	LI5
SRR20748482	LI5
SRR20748460	LI1
SRR20748362	LI12
SRR20748323	LI10
SRR20748319	LI11
SRR20748318	LI6
SRR20748317	LI1
SRR20748316	LI6
SRR20748315	LI10
SRR20748313	LI10
SRR20748308	LI12
SRR20748307	LI6
SRR20748306	LI6
SRR20748305	LI10
SRR20748303	LI10
SRR20748302	LI10
SRR20748300	LI11
SRR20748299	LI11
SRR20748296	LI10
SRR20748295	LI10
SRR20748294	LI10
SRR20748293	LI10
SRR20748416	LI10
SRR20748415	LI10
SRR20748414	LI10
SRR20748413	LI10
SRR20748412	LI11
SRR20748410	LI10
SRR20748408	LI10
SRR20748407	LI10
SRR20748406	LI11
SRR20748403	LI10
SRR20748402	LI6
SRR20748401	LI12
SRR20748399	LI12
SRR20748398	LI12
SRR20748396	LI10
SRR20748395	LI12
SRR20748393	LI11
SRR20748392	LI11
SRR20748391	LI11
SRR20748390	LI11
SRR20748388	LI11
SRR20748387	LI11
SRR20748386	LI11
SRR20748352	LI11
SRR20748351	LI11
SRR20748350	LI11
SRR20748349	LI6
SRR20748347	LI11
SRR20748345	LI11
SRR20748344	LI11
SRR20748343	LI6
SRR20748342	LI11
SRR20748341	LI11
SRR20748340	LI11
SRR20748459	LI6
SRR20748455	LI12
SRR20748443	LI1
SRR20748442	LI1
SRR20748441	LI1
SRR20748440	LI1
SRR20748439	LI1
SRR20748437	LI1
SRR20748436	LI6
SRR20748435	LI6
SRR20748434	LI1
SRR20748433	LI6
SRR20748432	LI6
SRR20748431	LI6
SRR20748430	LI6
SRR20748429	LI6
SRR20748428	LI1
SRR20748425	LI1
SRR20748424	LI6
SRR20748423	LI6
SRR20748422	LI6
SRR20748421	LI6
SRR20748420	LI1
SRR20748419	LI1
SRR20748417	LI6
SRR20748383	LI1
SRR20748380	LI10
SRR20748379	LI12
SRR20748374	LI6
SRR20748372	LI1
SRR20748370	LI1
SRR20748369	LI1
SRR20748367	LI6
SRR20748366	LI1
SRR20748365	LI1
SRR20748364	LI6
SRR20748363	LI1
SRR20748358	LI1
SRR20748357	LI1
SRR20748355	LI6
SRR20748354	LI1
SRR20748353	LI1
SRR20748324	LI1
SRR20748322	LI1
SRR20748321	LI1
SRR20748310	LI11
SRR20748451	LI11
SRR20748450	LI11
SRR20748448	LI11
SRR20748447	LI11
SRR20748445	LI11
SRR20748463	LI13
SRR20748453	LI13
SRR20748472	LI13
SRR20748470	LI13
SRR20748469	LI13
SRR20748480	LI3
SRR20748452	LI3
SRR20748468	LI7
SRR20748465	LI3
SRR20748337	LI3
SRR20748477	LI7
SRR20748475	LI3
SRR20748331	LI3
SRR20748479	LI3
SRR7970013	LI12
SRR7970015	LI12
SRR7970016	LI12
SRR7970021	LI6
SRR7970024	LI1
SRR7970026	LI1
SRR7970028	LI10
SRR7970029	LI6
SRR7970030	LI10
SRR7970031	LI12
SRR7970034	LI12
SRR7970036	LI12
SRR10478767	LI2
SRR10478771	LI2
SRR10478772	LI2
SRR10478773	LI2
SRR10478774	LI2
SRR10478775	LI2
SRR10478777	LI2
SRR10478778	LI2
SRR10478779	LI2
SRR10478781	LI2
SRR10478782	LI2
SRR10478783	LI2
SRR10478784	LI2
SRR10478786	LI2
SRR10478787	LI2
SRR10478789	LI2
SRR10478790	LI2
SRR10478792	LI2
SRR10478793	LI2
SRR10478795	LI2
SRR10478796	LI2
SRR12506670	LI9
SRR12506671	LI11
SRR12506672	LI11
SRR12506673	LI11
SRR12506677	LI12
