sample	population	population_proportion	who_id	strain_code	clioc_id	other_id1	other_id2	source_geographic_region	country_code	source_country	source_state_or_region	source_town	host_code	host_species	coverage	coverage_rounded	...16	host_species_clean
SRR20748484	LO11	0.99989	MCAN/BR/1980/CR3	CR3	IOCL 0045	45	CR3	Americas	BR	Brazil	Rio de Janeiro	NA	MCAN	Dog	0	0	NA	Dog
SRR20748320	LO2	0.99989	MCAN/BR/1984/CCC-17.481	CCC-17.481	IOCL 0603	603	CCC-17.481	Americas	BR	Brazil	Ceara	Caucaia	MCAN	Dog	0	0	NA	Dog
SRR20748298	LO9	0.999883	MHOM/BR/2003/JBIC	JBIC	IOCL 2584	2584	JBIC	Americas	BR	Brazil	Mato Grosso do Sul	Campo Grande	MHOM	Human	4.3757944458779	4	NA	Human
SRR20748411	LO10	0.975985	MHOM/BR/2003/ACS	ACS	IOCL 2647	2647	ACS	Americas	BR	Brazil	Pernambuco	Recife	MHOM	Human	0	0	NA	Human
SRR20748400	LO9	0.99989	MCAN/BR/2002/LVV-135	LVV-135	IOCL 2664	2664	LVV-135	Americas	BR	Brazil	Mato Grosso do Sul	Campo Grande	MCAN	Dog	3.56187501056587	4	NA	Dog
SRR20748389	LO9	0.99989	MCAN/BR/2002/LVV-139	LVV-139	IOCL 2668	2668	LVV-139	Americas	BR	Brazil	Mato Grosso do Sul	Três Lagoas	MCAN	Dog	3.60090757127413	4	NA	Dog
SRR20748346	LO10	0.99989	MCAN/BR/2005/SPACK	SPACK	IOCL 2769	2769	SPACK	Americas	BR	Brazil	Pernambuco	São Vicente Ferrer	MCAN	Dog	0	0	NA	Dog
SRR20748335	LO9	0.99989	MHOM/BR/2005/phufms-85	phufms-85	IOCL 2777	2777	phufms-85	Americas	BR	Brazil	Mato Grosso do Sul	NA	MHOM	Human	3.72193615723159	4	NA	Human
SRR20748482	LO9	0.99989	MHOM/BR/2005/phufms-89	phufms-89	IOCL 2778	2778	phufms-89	Americas	BR	Brazil	Mato Grosso do Sul	Campo Grande	MHOM	Human	4.5347927797353	4	NA	Human
SRR20748471	LO11	0.99989	MHOM/BR/2005/2788	2788	NA	2788	2788	Americas	BR	Brazil	Espírito Santo	NA	MHOM	NA	0	0	NA	NA
SRR20748460	LO11	0.994577	MHOM/BR/2005/HRNS-1	HRNS-1	IOCL 2789	2789	HRNS-1	Americas	BR	Brazil	Espírito Santo	Rio Novo do Sul	MHOM	Human	0.00600367156287958	0	NA	Human
SRR20748438	LO10	0.99989	MCER/BR/1979/M6445	M6445	IOCL 2896	2896	M6445	Americas	BR	Brazil	Pará	NA	MCER	Human	0	0	NA	Human
SRR20748427	LO10	0.903243	MCAN/BR/2006/NMT-DF1421MO	NMT-DF1421MO	IOCL 2901	2901	NMT-DF1421MO	Americas	BR	Brazil	Distrito Federal	NA	MCAN	Dog	0	0	NA	Dog
SRR20748384	LO10	0.983882	MHOM/BR/2002/LPC-RPV	LPC-RPV	IOCL 2906	2906	LPC-RPV	Americas	BR	Brazil	Minas Gerais	NA	MHOM	Human	0	0	NA	Human
SRR20748323	LO2	0.988997	MHOM/BR/2006/1406MBS	1406MBS	IOCL 2976	2976	1406MBS	Americas	BR	Brazil	Piauí	NA	MHOM	Human	0	0	NA	Human
SRR20748317	LO11	0.99989	MCAN/BR/2007/CP-14	CP-14	IOCL 3023	3023	CP-14	Americas	BR	Brazil	Espírito Santo	Pancas	MCAN	Dog	0	0	NA	Dog
SRR20748315	LO10	0.99989	MHOM/BR/2008/RN-04	RN-04	IOCL 3050	3050	RN-04	Americas	BR	Brazil	Rio Grande do Norte	Natal	MHOM	Human	0	0	NA	Human
SRR20748313	LO10	0.99989	MHOM/BR/2008/RN-03	RN-03	IOCL 3052	3052	RN-03	Americas	BR	Brazil	Rio Grande do Norte	Natal	MHOM	Human	0	0	NA	Human
SRR20748308	LO7	0.969666	MHOM/BR/2009/ANC	ANC	IOCL 3105	3105	ANC	Americas	BR	Brazil	Maranhão	São Luís	MHOM	Human	3.53613618270054	4	NA	Human
SRR20748305	LO10	0.99989	MCAN/BR/2009/PANTERA-MO-I	PANTERA-MO-I	IOCL 3132	3132	PANTERA-MO-I	Americas	BR	Brazil	Mato Grosso	NA	MCAN	NA	0	0	NA	NA
SRR20748303	LO10	0.999887	MHOM/BR/2009/202	202	IOCL 3140	3140	3140	Americas	BR	Brazil	Mato Grosso	Cuiabá	MHOM	Human	0	0	NA	Human
SRR20748302	LO10	0.99989	MCAN/BR/2009/113-MO	113-MO	IOCL 3158	3158	113-MO	Americas	BR	Brazil	Mato Grosso	NA	MCAN	NA	0	0	NA	NA
SRR20748301	LO2	0.919866	MCAN/BR/2010/BURRINHO-I	BURRINHO-I	IOCL 3189	3189	BURRINHO-I	Americas	BR	Brazil	Rio Grande do Sul	NA	MCAN	NA	0	0	NA	NA
SRR20748300	LO11	0.99989	MCAN/BR/2010/LEONA	LEONA	IOCL 3193	3193	LEONA	Americas	BR	Brazil	Rio Grande do Sul	Uruguaiana	MCAN	Dog	0	0	NA	Dog
SRR20748299	LO11	0.99989	MCAN/BR/2010/LAIKA	LAIKA	IOCL 3198	3198	LAIKA	Americas	BR	Brazil	Rio Grande do Sul	Uruguaiana	MCAN	Dog	0	0	NA	Dog
SRR20748296	LO10	0.99989	MCAN/BR/2010/MEG	MEG	IOCL 3214	3214	MEG	Americas	BR	Brazil	Mato Grosso	Cuiabá	MCAN	Dog	0	0	NA	Dog
SRR20748295	LO10	0.99989	MCAN/BR/2010/MAGRÃO	MAGRÃO	IOCL 3227	3227	MAGRÃO	Americas	BR	Brazil	Mato Grosso	NA	MCAN	NA	0	0	NA	NA
SRR20748294	LO10	0.99989	MCAN/BR/2009/CLV9	CLV9	IOCL 3250	3250	CLV9	Americas	BR	Brazil	São Paulo	Embu das Artes	MCAN	Dog	0	0	NA	Dog
SRR20748293	LO10	0.999711	MCAN/BR/2010/PV82	PV82	IOCL 3264	3264	PV82	Americas	BR	Brazil	Rio Grande do Norte	Natal	MCAN	Dog	0	0	NA	Dog
SRR20748416	LO10	0.99989	MCAN/BR/2010/PV97	PV97	IOCL 3274	3274	PV97	Americas	BR	Brazil	Rio Grande do Norte	Natal	MCAN	Dog	0	0	NA	Dog
SRR20748415	LO10	0.99989	MCAN/BR/2010/PV98	PV98	IOCL 3275	3275	PV98	Americas	BR	Brazil	Rio Grande do Norte	Natal	MCAN	Dog	0	0	NA	Dog
SRR20748414	LO10	0.99989	MCAN/BR/2010/PV99	PV99	IOCL 3276	3276	PV99	Americas	BR	Brazil	Rio Grande do Norte	Natal	MCAN	Dog	0	0	NA	Dog
SRR20748413	LO10	0.99989	MCAN/BR/2010/282-II	282-II	IOCL 3320	3320	282-II	Americas	BR	Brazil	Mato Grosso	NA	MCAN	NA	0	0	NA	NA
SRR20748410	LO10	0.99989	MHOM/BR/2012/DIAG1502	DIAG1502	IOCL 3403	3403	DIAG1502	Americas	BR	Brazil	Rio Grande do Norte	Natal	MHOM	Human	0	0	NA	Human
SRR20748409	LO2	0.954751	MHOM/BR/2012/DIAG1521	DIAG1521	IOCL 3405	3405	DIAG1521	Americas	BR	Brazil	Rio Grande do Norte	Natal	MHOM	Human	0	0	NA	Human
SRR20748408	LO10	0.999885	MHOM/BR/2012/DIAG1551	DIAG1551	IOCL 3407	3407	DIAG1551	Americas	BR	Brazil	Rio Grande do Norte	Natal	MHOM	Human	0	0	NA	Human
SRR20748407	LO10	0.99989	MHOM/BR/2012/DIAG1586	DIAG1586	IOCL 3435	3435	DIAG1586	Americas	BR	Brazil	Rio Grande do Norte	Natal	MHOM	Human	0	0	NA	Human
SRR20748406	LO11	0.99989	MCAN/BR/2010/LSC_LOB	LSC_LOB	IOCL 3446	3446	LSC_LOB	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748403	LO10	0.99989	MCAN/BR/2014/CORAGEM	CORAGEM	IOCL 3537	3537	CORAGEM	Americas	BR	Brazil	São Paulo	São José do Rio Preto	MCAN	Dog	0	0	NA	Dog
SRR20748401	LO7	0.95281	MCAN/BR/2014/17BAÇO	17BAÇO	IOCL 3554	3554	17BAÇO	Americas	BR	Brazil	Maranhão	NA	MCAN	NA	3.66600094318639	4	NA	NA
SRR20748399	LO7	0.92455	MCAN/BR/2014/18BAÇO	18BAÇO	IOCL 3555	3555	18BAÇO	Americas	BR	Brazil	Maranhão	NA	MCAN	NA	3.52370555340747	4	NA	NA
SRR20748398	LO7	0.92824	MCAN/BR/2014/18MEDULA	18MEDULA	IOCL 3556	3556	18MEDULA	Americas	BR	Brazil	Maranhão	São Luís	MCAN	Dog	3.63463485757354	4	NA	Dog
SRR20748397	LO2	0.912008	MCAN/BR/2014/19BAÇO	19BAÇO	IOCL 3557	3557	19BAÇO	Americas	BR	Brazil	Maranhão	NA	MCAN	NA	0.759034285206127	1	NA	NA
SRR20748396	LO2	0.99989	MCAN/BR/2014/21BAÇO	21BAÇO	IOCL 3558	3558	21BAÇO	Americas	BR	Brazil	Maranhão	NA	MCAN	NA	0	0	NA	NA
SRR20748395	LO7	0.949876	MCAN/BR/2014/POODLE-FÊMEA	POODLE-FÊMEA	IOCL 3559	3559	POODLE-FÊMEA	Americas	BR	Brazil	Maranhão	NA	MCAN	NA	3.38655431162466	3	NA	NA
SRR20748393	LO11	0.99989	MCAN/BR/2015/TUBO4	TUBO4	IOCL 3597	3597	TUBO4	Americas	BR	Brazil	Rio de Janeiro	Barra Mansa	MCAN	Dog	0	0	NA	Dog
SRR20748392	LO11	0.994868	MCAN/BR/2016/90	90	IOCL 3634	3634	90	Americas	BR	Brazil	Rio de Janeiro	Barra Mansa	MCAN	Dog	0	0	NA	Dog
SRR20748391	LO11	0.99989	MCAN/BR/2015/PACO	PACO	IOCL 3719	3719	PACO	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748390	LO11	0.99989	MCAN/BR/2010/LOBA	LOBA	IOCL 3722	3722	LOBA	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748388	LO11	0.999886	MCAN/BR/2015/LAIKA	LAIKA	IOCL 3733	3733	LAIKA	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
