sample	population	population_proportion	source_country	source_state_or_region	host_species
SRR20748484	11	0.99988	Brazil	Rio de Janeiro	Dog
SRR20748309	6	0.948007	Brazil	Ceara	Dog
SRR20748298	4	0.99988	Brazil	Mato Grosso do Sul	Human
SRR20748411	11	0.99988	Brazil	Pernambuco	Human
SRR20748400	4	0.99988	Brazil	Mato Grosso do Sul	Dog
SRR20748389	4	0.999869	Brazil	Mato Grosso do Sul	Dog
SRR20748335	4	0.99988	Brazil	Mato Grosso do Sul	Human
SRR20748482	4	0.99988	Brazil	Mato Grosso do Sul	Human
SRR20748471	11	0.999874	Brazil	Espírito Santo	NA
SRR20748460	11	0.999871	Brazil	Espírito Santo	Human
SRR20748438	11	0.999873	Brazil	Pará	Human
SRR20748427	11	0.999856	Brazil	Distrito Federal	Dog
SRR20748384	11	0.99988	Brazil	Minas Gerais	Human
SRR20748362	8	0.907194	Brazil	Piauí	Human
SRR20748323	7	0.99988	Brazil	Piauí	Human
SRR20748318	6	0.953388	Brazil	Distrito Federal	Human
SRR20748317	11	0.99988	Brazil	Espírito Santo	Dog
SRR20748316	3	0.99988	Brazil	Mato Grosso do Sul	Dog
SRR20748315	10	0.99988	Brazil	Rio Grande do Norte	Human
SRR20748314	7	0.99988	Brazil	Rio Grande do Norte	Human
SRR20748313	10	0.99988	Brazil	Rio Grande do Norte	Human
SRR20748308	8	0.99988	Brazil	Maranhão	Human
SRR20748307	6	0.965505	Brazil	Sergipe	Human
SRR20748306	6	0.969587	Brazil	Sergipe	Human
SRR20748305	10	0.99988	Brazil	Mato Grosso	NA
SRR20748303	10	0.99988	Brazil	Mato Grosso	Human
SRR20748302	10	0.99988	Brazil	Mato Grosso	NA
SRR20748300	11	0.925976	Brazil	Rio Grande do Sul	Dog
SRR20748296	10	0.99988	Brazil	Mato Grosso	Dog
SRR20748295	10	0.99988	Brazil	Mato Grosso	NA
SRR20748294	10	0.99987	Brazil	São Paulo	Dog
SRR20748293	10	0.99988	Brazil	Rio Grande do Norte	Dog
SRR20748416	10	0.99988	Brazil	Rio Grande do Norte	Dog
SRR20748415	10	0.99988	Brazil	Rio Grande do Norte	Dog
SRR20748414	10	0.999871	Brazil	Rio Grande do Norte	Dog
