sample	population	population_proportion	who_id	strain_code	clioc_id	other_id1	other_id2	source_geographic_region	country_code	source_country	source_state_or_region	source_town	host_code	host_species	coverage	coverage_rounded	...16	host_species_clean
SRR20748484	LI1	0.925863	MCAN/BR/1980/CR3	CR3	IOCL 0045	45	CR3	Americas	BR	Brazil	Rio de Janeiro	NA	MCAN	Dog	0	0	NA	Dog
SRR20748320	LI6	0.99988	MCAN/BR/1984/CCC-17.481	CCC-17.481	IOCL 0603	603	CCC-17.481	Americas	BR	Brazil	Ceara	Caucaia	MCAN	Dog	0	0	NA	Dog
SRR20748298	LI5	0.99988	MHOM/BR/2003/JBIC	JBIC	IOCL 2584	2584	JBIC	Americas	BR	Brazil	Mato Grosso do Sul	Campo Grande	MHOM	Human	4.3757944458779	4	NA	Human
SRR20748400	LI5	0.999876	MCAN/BR/2002/LVV-135	LVV-135	IOCL 2664	2664	LVV-135	Americas	BR	Brazil	Mato Grosso do Sul	Campo Grande	MCAN	Dog	3.56187501056587	4	NA	Dog
SRR20748389	LI5	0.99988	MCAN/BR/2002/LVV-139	LVV-139	IOCL 2668	2668	LVV-139	Americas	BR	Brazil	Mato Grosso do Sul	Três Lagoas	MCAN	Dog	3.60090757127413	4	NA	Dog
SRR20748346	LI10	0.99988	MCAN/BR/2005/SPACK	SPACK	IOCL 2769	2769	SPACK	Americas	BR	Brazil	Pernambuco	São Vicente Ferrer	MCAN	Dog	0	0	NA	Dog
SRR20748335	LI5	0.99988	MHOM/BR/2005/phufms-85	phufms-85	IOCL 2777	2777	phufms-85	Americas	BR	Brazil	Mato Grosso do Sul	NA	MHOM	Human	3.72193615723159	4	NA	Human
SRR20748482	LI5	0.99988	MHOM/BR/2005/phufms-89	phufms-89	IOCL 2778	2778	phufms-89	Americas	BR	Brazil	Mato Grosso do Sul	Campo Grande	MHOM	Human	4.5347927797353	4	NA	Human
SRR20748460	LI1	0.99988	MHOM/BR/2005/HRNS-1	HRNS-1	IOCL 2789	2789	HRNS-1	Americas	BR	Brazil	Espírito Santo	Rio Novo do Sul	MHOM	Human	0.00600367156287958	0	NA	Human
SRR20748362	LI12	0.940243	MHOM/BR/2005/742EMS	742EMS	IOCL 2972	2972	742EMS	Americas	BR	Brazil	Piauí	NA	MHOM	Human	3.93270178469586	4	NA	Human
SRR20748323	LI10	0.989483	MHOM/BR/2006/1406MBS	1406MBS	IOCL 2976	2976	1406MBS	Americas	BR	Brazil	Piauí	NA	MHOM	Human	0	0	NA	Human
SRR20748319	LI11	0.920988	MHOM/BR/2007/WC	WC	IOCL 3015	3015	WC	Americas	BR	Brazil	Rio de Janeiro	NA	MHOM	Human	0	0	NA	Human
SRR20748318	LI6	0.947339	MHOM/BR/2003/NMT-HUB 138030	NMT-HUB 138030	IOCL 3017	3017	NMT-HUB 138030	Americas	BR	Brazil	Distrito Federal	NA	MHOM	Human	0	0	NA	Human
SRR20748317	LI1	0.908552	MCAN/BR/2007/CP-14	CP-14	IOCL 3023	3023	CP-14	Americas	BR	Brazil	Espírito Santo	Pancas	MCAN	Dog	0	0	NA	Dog
SRR20748316	LI6	0.99988	MCAN/BR/2007/CG-1	CG-1	IOCL 3033	3033	CG-1	Americas	BR	Brazil	Mato Grosso do Sul	Campo Grande	MCAN	Dog	0	0	NA	Dog
SRR20748315	LI10	0.99988	MHOM/BR/2008/RN-04	RN-04	IOCL 3050	3050	RN-04	Americas	BR	Brazil	Rio Grande do Norte	Natal	MHOM	Human	0	0	NA	Human
SRR20748313	LI10	0.99988	MHOM/BR/2008/RN-03	RN-03	IOCL 3052	3052	RN-03	Americas	BR	Brazil	Rio Grande do Norte	Natal	MHOM	Human	0	0	NA	Human
SRR20748308	LI12	0.99988	MHOM/BR/2009/ANC	ANC	IOCL 3105	3105	ANC	Americas	BR	Brazil	Maranhão	São Luís	MHOM	Human	3.53613618270054	4	NA	Human
SRR20748307	LI6	0.96962	MHOM/BR/2009/HU-UFS02	HU-UFS02	IOCL 3107	3107	HU-UFS02	Americas	BR	Brazil	Sergipe	Aracaju	MHOM	Human	0	0	NA	Human
SRR20748306	LI6	0.938679	MHOM/BR/2009/HU-UFS11	HU-UFS11	IOCL 3116	3116	HU-UFS11	Americas	BR	Brazil	Sergipe	Aracaju	MHOM	Human	0	0	NA	Human
SRR20748305	LI10	0.99988	MCAN/BR/2009/PANTERA-MO-I	PANTERA-MO-I	IOCL 3132	3132	PANTERA-MO-I	Americas	BR	Brazil	Mato Grosso	NA	MCAN	NA	0	0	NA	NA
SRR20748303	LI10	0.99988	MHOM/BR/2009/202	202	IOCL 3140	3140	3140	Americas	BR	Brazil	Mato Grosso	Cuiabá	MHOM	Human	0	0	NA	Human
SRR20748302	LI10	0.99988	MCAN/BR/2009/113-MO	113-MO	IOCL 3158	3158	113-MO	Americas	BR	Brazil	Mato Grosso	NA	MCAN	NA	0	0	NA	NA
SRR20748300	LI11	0.99988	MCAN/BR/2010/LEONA	LEONA	IOCL 3193	3193	LEONA	Americas	BR	Brazil	Rio Grande do Sul	Uruguaiana	MCAN	Dog	0	0	NA	Dog
SRR20748299	LI11	0.99988	MCAN/BR/2010/LAIKA	LAIKA	IOCL 3198	3198	LAIKA	Americas	BR	Brazil	Rio Grande do Sul	Uruguaiana	MCAN	Dog	0	0	NA	Dog
SRR20748296	LI10	0.99988	MCAN/BR/2010/MEG	MEG	IOCL 3214	3214	MEG	Americas	BR	Brazil	Mato Grosso	Cuiabá	MCAN	Dog	0	0	NA	Dog
SRR20748295	LI10	0.99988	MCAN/BR/2010/MAGRÃO	MAGRÃO	IOCL 3227	3227	MAGRÃO	Americas	BR	Brazil	Mato Grosso	NA	MCAN	NA	0	0	NA	NA
SRR20748294	LI10	0.99988	MCAN/BR/2009/CLV9	CLV9	IOCL 3250	3250	CLV9	Americas	BR	Brazil	São Paulo	Embu das Artes	MCAN	Dog	0	0	NA	Dog
SRR20748293	LI10	0.99988	MCAN/BR/2010/PV82	PV82	IOCL 3264	3264	PV82	Americas	BR	Brazil	Rio Grande do Norte	Natal	MCAN	Dog	0	0	NA	Dog
SRR20748416	LI10	0.99988	MCAN/BR/2010/PV97	PV97	IOCL 3274	3274	PV97	Americas	BR	Brazil	Rio Grande do Norte	Natal	MCAN	Dog	0	0	NA	Dog
SRR20748415	LI10	0.999875	MCAN/BR/2010/PV98	PV98	IOCL 3275	3275	PV98	Americas	BR	Brazil	Rio Grande do Norte	Natal	MCAN	Dog	0	0	NA	Dog
SRR20748414	LI10	0.99988	MCAN/BR/2010/PV99	PV99	IOCL 3276	3276	PV99	Americas	BR	Brazil	Rio Grande do Norte	Natal	MCAN	Dog	0	0	NA	Dog
SRR20748413	LI10	0.99988	MCAN/BR/2010/282-II	282-II	IOCL 3320	3320	282-II	Americas	BR	Brazil	Mato Grosso	NA	MCAN	NA	0	0	NA	NA
