population	population_label
LO1	Mediterranean & Middle East Cluster (Albania, Egypt, Greece, Italy, Turkey, Yemen)
LO2	Brazil Minor Population Cluster
LO3	Central & East Asia with Middle East Mix (Uzbekistan, China, Israel)
LO4	Western Europe & North Africa Mixed Cluster (France, Portugal, Tunisia)
LO5	Europe & Americas Mixed Minor Cluster (Spain, France, Honduras, Morocco, Panama)
LO6	Brazil Major Population Cluster A
LO7	Brazil Major Population Cluster B
LO8	North Africa & Middle East Mixed Cluster (Tunisia, Israel)
LO9	Brazil Minor Mixed Mix Cluster
LO10	Brazil Major Population Cluster C
LO11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
LO12	East African Cluster (Ethiopia, Sudan)
