population	population_label
AM1	Brazil Southeast (Espírito Santo, Minas Gerais, Piauí)
AM2	Brazil Northeast A
AM3	Brazil Mixed Central-South (Multi-state)
AM4	Brazil Central-West A
AM5	Brazil Central-West B
AM6	Brazil Northeast-Central (Multi-state)
AM7	Brazil Northeast B
AM8	Brazil North-Northeast (Maranhão, Pará, Piauí)
AM9	Brazil South (Santa Catarina)
AM10	Brazil Mixed (Mato Grosso, Rio Grande do Norte, São Paulo)
AM11	Brazil-Paraguay-Uruguay Cluster
AM12	Brazil-Honduras Mixed (Rio de Janeiro + Honduras)
AM13	Central America (Honduras, Panama)
