population_code	description
V1	Brazil, Honduras & Colombia Major Cluster
V2	Brazil, Honduras & Panama Major Cluster
V3	North Africa & Europe Mixed Cluster (Tunisia, France, Israel)
V4	Western Europe & North Africa Cluster (France, Portugal, Tunisia)
V5	Americas Minor Mixed Cluster (Honduras, Panama, France)
V6	Southern Cone Major Cluster (Brazil, Uruguay)
V7	Europe & Americas Mixed Cluster (Spain, France, Brazil, Morocco)
V8	Middle East Cluster (Israel, Yemen)
V9	Brazil Minor Population Cluster
V10	Brazil-Paraguay Major Cluster
V11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
V12	Brazil, Honduras & Panama Major Cluster 2
V13	Central & East Asia with Middle East Mix (Uzbekistan, China, Israel)
