population	N_Samples	Countries_Represented	Host_Species	Notes
LI1	33	Brazil	Dog, Human	
LI10	35	Brazil	Dog, Human	
LI11	32	Brazil, Paraguay, Uruguay	Human, Dog	
LI12	47	Brazil	Human, Dog	
LI13	8	China, Uzbekistan, Israel	Dog, Human	
LI2	56	Brazil	Human	
LI3	13	Albania, Greece, Turkiye, Egypt, Morocco, Tunisia	Dog, Human	
LI4	11	France, Italy, Portugal, Spain, Tunisia	Human	
LI5	13	Brazil, Spain	Human, Dog	
LI6	33	Brazil	Dog, Human	
LI7	8	Spain, Morocco, Honduras, Panama, France	Human	
LI8	8	Israel, Palestine		
LI9	14	Brazil	Dog	
