label	stat	win_start	n_snps	r_value	vcft_value	diff
AM2 LinJ.36 diploid	pi	1	142	5.72867432746465e-06	5.36673e-06	3.6194432746465e-07
AM2 LinJ.36 diploid	pi	50001	90	3.10096153846154e-07	3.07692e-07	2.40415384615383e-09
AM2 LinJ.36 diploid	pi	100001	130	4.81730769230769e-06	4.77996e-06	3.73476923076926e-08
AM2 LinJ.36 diploid	pi	150001	241	1.54086538461538e-06	1.52892e-06	1.19453846153846e-08
AM2 LinJ.36 diploid	pi	200001	199	2.47980769230769e-05	2.46058e-05	1.92276923076922e-07
AM2 LinJ.36 diploid	pi	250001	164	7.98079088704089e-06	3.36553e-06	4.61526088704089e-06
AM2 LinJ.36 diploid	pi	300001	202	9.84165509669542e-06	9.44782e-06	3.9383509669542e-07
AM2 LinJ.36 diploid	pi	350001	114	6.25076312576313e-07	3.07692e-07	3.17384312576313e-07
AM2 LinJ.36 diploid	pi	400001	109	9.30288461538462e-07	9.23077e-07	7.21146153846157e-09
AM2 LinJ.36 diploid	pi	450001	108	1.06971153846154e-05	1.06142e-05	8.29153846153842e-08
AM2 LinJ.36 diploid	pi	500001	131	1.18197115384615e-05	1.17281e-05	9.16115384615358e-08
AM2 LinJ.36 diploid	pi	550001	260	2.80086602465635e-06	2.14908e-06	6.51786024656347e-07
AM2 LinJ.36 diploid	pi	600001	183	2.14694355823388e-06	1.81276e-06	3.34183558233881e-07
AM2 LinJ.36 diploid	pi	650001	108	1.23557692307692e-06	1.226e-06	9.57692307692321e-09
AM2 LinJ.36 diploid	pi	700001	95	2.16105769230769e-06	2.14431e-06	1.67476923076927e-08
AM2 LinJ.36 diploid	pi	750001	106	1.23076923076923e-06	1.22123e-06	9.53923076923073e-09
AM2 LinJ.36 diploid	pi	800001	101	3.10096153846154e-07	3.07692e-07	2.40415384615383e-09
AM2 LinJ.36 diploid	pi	850001	86	6.15384615384615e-07	6.10614e-07	4.77061538461539e-09
AM2 LinJ.36 diploid	pi	900001	99	8.63221153846154e-06	8.5653e-06	6.69115384615375e-08
AM2 LinJ.36 diploid	pi	950001	71	4.09615384615385e-06	4.0644e-06	3.17538461538465e-08
AM2 LinJ.36 diploid	pi	1000001	87	9.25480769230769e-07	9.18306e-07	7.17476923076922e-09
AM2 LinJ.36 diploid	pi	1050001	93	6.15384615384615e-07	6.10614e-07	4.77061538461539e-09
AM2 LinJ.36 diploid	pi	1100001	132	1.24038461538462e-06	1.23077e-06	9.61461538461548e-09
AM2 LinJ.36 diploid	pi	1150001	106	2.44711538461538e-06	2.42815e-06	1.89653846153846e-08
AM2 LinJ.36 diploid	pi	1200001	74	9.25480769230769e-07	9.18306e-07	7.17476923076922e-09
AM2 LinJ.36 diploid	pi	1250001	101	1.23557692307692e-06	1.226e-06	9.57692307692321e-09
