BIN_START	N_SNPS_vcft	S_pegas	S_diff	n_snps_in_window	n_gene	k_pegas	TajimaD_vcft	TajimaD_pegas	D_diff	D_agree
0	29	21	8	534	92	5.358948	-0.0334652	0.8831060792295953	-0.9166	FALSE
50000	4	3	1	548	92	0.259638	-0.651911	-1.0188119438424916	0.3669	FALSE
100000	7	7	0	556	92	0.633506	-1.172	-1.280313202716042	0.1083	TRUE
150000	1	1	0	567	92	NA	0.783258	NA	NA	NA
200000	2	4	-2	490	92	0.492294	0.275498	-0.7507667141993177	1.0263	FALSE
250000	4	2	2	452	92	0.070778	-1.09044	-1.280665950855022	0.1902	TRUE
300000	4	4	0	523	92	0.570977	-1.10932	-0.5491619543698623	-0.5602	FALSE
350000	9	3	6	258	92	0.20045	-0.905511	-1.2019092246302148	0.2964	FALSE
400000	3	3	0	433	92	1.422805	2.5705	2.5794332589519477	-0.0089	TRUE
450000	5	5	0	362	92	0.819654	0.484821	-0.35632590102222345	0.8411	FALSE
500000	2	5	-3	391	92	0.777658	0.965753	-0.4487116069377835	1.4145	FALSE
550000	4	3	1	379	92	0.219028	-0.445912	-1.144439362841788	0.6985	FALSE
600000	3	1	2	458	92	NA	-0.774864	NA	NA	NA
650000	2	1	1	135	92	NA	0.914937	NA	NA	NA
700000	2	4	-2	343	92	0.309365	-0.440165	-1.2194768319767444	0.7793	FALSE
750000	0	1	-1	402	92	NA	NA	NA	NA	NA
800000	4	2	2	388	92	0.105829	-0.276147	-1.1412071196295936	0.8651	FALSE
850000	9	7	2	407	92	0.87982	-0.731764	-0.8546003633161403	0.1228	TRUE
900000	8	3	5	411	92	0.68143	0.0920239	0.28599620510254176	-0.194	TRUE
950000	8	1	7	332	92	NA	-1.4541	NA	NA	NA
1000000	6	2	4	535	92	0.286196	-1.06306	-0.42356607383049166	-0.6395	FALSE
1050000	1	3	-2	468	92	0.169613	-0.853209	-1.2973046477181511	0.4441	FALSE
1100000	1	1	0	557	92	NA	-0.853209	NA	NA	NA
1150000	9	7	2	463	92	0.365923	-1.0947	-1.7427878516433208	0.6481	FALSE
1200000	4	4	0	524	92	0.612164	-1.54838	-0.4436294591169279	-1.1048	FALSE
1250000	2	4	-2	583	92	0.321137	-0.982206	-1.1893130687559617	0.2071	FALSE
1300000	7	6	1	435	92	0.759317	-0.681659	-0.8094970914487752	0.1278	TRUE
1350000	7	4	3	417	92	0.186287	-1.10246	-1.5348317726979797	0.4324	FALSE
1400000	1	1	0	432	92	NA	-0.603903	NA	NA	NA
1450000	5	2	3	413	92	0.087933	-1.62267	-1.21241284929439	-0.4103	FALSE
1500000	12	2	10	194	92	0.530665	0.709551	0.5491214825727176	0.1604	TRUE
