pop1	pop2	msl_type	n_windows	dxy_mean	dxy_median	fst_mean	fst_median
AM10_0	AM11_0	MSL0-MSL0	296	0.001763	0.001759	0.0033	0
AM10_0	AM12_0	MSL0-MSL0	296	0.004954	0.005135	0	0
AM10_0	AM1_0	MSL0-MSL0	296	0.001899	0.001637	0.0138	0
AM10_0	AM2_0	MSL0-MSL0	296	0.00187	0.001766	0.0177	0.0103
AM10_0	AM3_0	MSL0-MSL0	296	0.001999	0.00192	0.0015	0
AM10_0	AM5_0	MSL0-MSL0	296	0.002303	0.00202	0.0058	0
AM10_0	AM6_0	MSL0-MSL0	296	0.001997	0.001815	0.0101	0
AM10_0	AM7_0	MSL0-MSL0	296	0.0018600000000000001	0.001787	0.0023	0
AM10_0	AM9_0	MSL0-MSL0	296	0.001711	0.001622	0.0048	0
AM11_0	AM12_0	MSL0-MSL0	296	0.004784	0.004909	0	0
AM11_0	AM1_0	MSL0-MSL0	296	0.001667	0.001514	0.0055	0
AM11_0	AM2_0	MSL0-MSL0	296	0.001712	0.001598	0.0129	0.0067
AM11_0	AM3_0	MSL0-MSL0	296	0.001925	0.001852	8e-4	0
AM11_0	AM5_0	MSL0-MSL0	296	0.002275	0.002058	0.0079	0
AM11_0	AM6_0	MSL0-MSL0	296	0.001846	0.001703	0.0032	0
AM11_0	AM7_0	MSL0-MSL0	296	0.001767	0.001732	0.0018	0
AM11_0	AM9_0	MSL0-MSL0	296	0.001632	0.001602	1e-4	0
AM12_0	AM1_0	MSL0-MSL0	296	0.00496	0.004889	0.0024	0
AM12_0	AM2_0	MSL0-MSL0	296	0.004392	0.004371	0	0
AM12_0	AM3_0	MSL0-MSL0	296	0.005157	0.005157	0	0
AM12_0	AM5_0	MSL0-MSL0	296	0.004999	0.004919	0	0
AM12_0	AM6_0	MSL0-MSL0	296	0.005164	0.005157	0	0
AM12_0	AM7_0	MSL0-MSL0	296	0.004897	0.004857	0	0
AM12_0	AM9_0	MSL0-MSL0	296	0.004876	0.005015	0	0
AM1_0	AM2_0	MSL0-MSL0	296	0.001833	0.001567	0.0326	0.0025
AM1_0	AM3_0	MSL0-MSL0	296	0.002022	0.001789	0.0082	0
AM1_0	AM5_0	MSL0-MSL0	296	0.00219	0.001902	0.0188	0
AM1_0	AM6_0	MSL0-MSL0	296	0.001889	0.001614	0.0183	0
AM1_0	AM7_0	MSL0-MSL0	296	0.00184	0.001622	0.0111	0
AM1_0	AM9_0	MSL0-MSL0	296	0.001699	0.001483	0.0046	0
AM2_0	AM3_0	MSL0-MSL0	296	0.001849	0.001693	0.0013	0
AM2_0	AM5_0	MSL0-MSL0	296	0.001861	0.00163	0.0183	0
AM2_0	AM6_0	MSL0-MSL0	296	0.00182	0.001512	0.0146	0.0035
AM2_0	AM7_0	MSL0-MSL0	296	0.001643	0.001386	0.0053	0
AM2_0	AM9_0	MSL0-MSL0	296	0.001785	0.001636	0.0116	0
AM3_0	AM5_0	MSL0-MSL0	296	0.002527	0.002456	0.0048	0
AM3_0	AM6_0	MSL0-MSL0	296	0.002044	0.001856	0.0025	0
AM3_0	AM7_0	MSL0-MSL0	296	0.001972	0.0018600000000000001	5e-4	0
AM3_0	AM9_0	MSL0-MSL0	296	0.001903	0.001823	0.0017	0
AM5_0	AM6_0	MSL0-MSL0	296	0.002512	0.002382	0.0183	0
AM5_0	AM7_0	MSL0-MSL0	296	0.002284	0.002098	0.0053	0
AM5_0	AM9_0	MSL0-MSL0	296	0.002344	0.001995	0.008	0
AM6_0	AM7_0	MSL0-MSL0	296	0.001894	0.001698	0.0033	0
AM6_0	AM9_0	MSL0-MSL0	296	0.001901	0.001681	0.0077	0
AM7_0	AM9_0	MSL0-MSL0	296	0.001733	0.00169	0.0043	0
AM2_4	AM4_4	MSL4-MSL4	296	0.003735	0.002968	0.0996	0.0589
AM2_4	AM8_4	MSL4-MSL4	296	0.001388	0.00124	0.0046	0
AM4_4	AM8_4	MSL4-MSL4	296	0.003858	0.002985	0.0371	0.0141
