group	msl_type	n_windows	pi_mean	pi_median	td_mean	td_median
AM1_0	MSL0	296	0.136402	0.123514	-1.5267	-1.7232
AM10_0	MSL0	296	0.113053	0.113439	-1.6496	-1.666
AM11_0	MSL0	296	0.088776	0.083386	-1.7474	-1.8298
AM12_0	MSL0	296	0.233263	0.228756	-3.7292	-3.8244
AM2_0	MSL0	288	0.125658	0.101978	-1.4663	-1.7098
AM3_0	MSL0	296	0.137288	0.131013	-1.9587	-2.0476
AM5_0	MSL0	291	0.186891	0.190377	-1.6947	-1.67
AM6_0	MSL0	296	0.112904	0.100813	-1.5647	-1.7032
AM7_0	MSL0	296	0.107699	0.10222	-1.8981	-1.9651
AM9_0	MSL0	296	0.148599	0.14623	-1.5369	-1.5209
AM2_4	MSL4	277	0.0809	0.07303	-1.8211	-1.8895
AM4_4	MSL4	296	0.161486	0.155454	-1.7452	-1.8806
AM8_4	MSL4	296	0.062529	0.060651	-2.211	-2.3245
