sample	population	population_proportion	coverage_rounded	msl_status
SRR12506683	V1	0.668241	0	MSL-
SRR12506694	V1	0.954141	0	MSL-
SRR12506702	V1	0.503151	0	MSL-
SRR12506705	V1	0.99988	0	MSL-
SRR12506716	V1	0.990913	0	MSL-
SRR13744594	V1	0.724101	0	MSL-
SRR13744627	V1	0.543705	3	MSL+
SRR16972312	V1	0.524508	1	MSL+
SRR20748317	V1	0.908552	0	MSL-
SRR20748321	V1	0.99988	0	MSL-
SRR20748322	V1	0.949754	0	MSL-
SRR20748324	V1	0.999871	0	MSL-
SRR20748339	V1	0.772006	0	MSL-
SRR20748353	V1	0.99988	0	MSL-
SRR20748354	V1	0.99988	0	MSL-
SRR20748357	V1	0.99988	0	MSL-
SRR20748358	V1	0.954753	0	MSL-
SRR20748359	V1	0.76634	0	MSL-
SRR20748363	V1	0.99988	0	MSL-
SRR20748365	V1	0.99988	0	MSL-
SRR20748366	V1	0.945727	0	MSL-
SRR20748369	V1	0.999873	0	MSL-
SRR20748370	V1	0.99988	0	MSL-
SRR20748372	V1	0.99988	0	MSL-
SRR20748377	V1	0.527258	0	MSL-
SRR20748383	V1	0.99988	0	MSL-
SRR20748419	V1	0.99988	0	MSL-
SRR20748420	V1	0.99988	0	MSL-
SRR20748425	V1	0.99988	0	MSL-
SRR20748428	V1	0.99988	0	MSL-
SRR20748434	V1	0.99988	0	MSL-
SRR20748437	V1	0.99988	0	MSL-
SRR20748439	V1	0.99988	0	MSL-
SRR20748440	V1	0.99988	0	MSL-
SRR20748441	V1	0.99988	0	MSL-
SRR20748442	V1	0.99988	0	MSL-
SRR20748443	V1	0.99988	0	MSL-
SRR20748446	V1	0.536858	3	MSL+
SRR20748457	V1	0.537189	4	MSL+
SRR20748460	V1	0.99988	0	MSL-
SRR20748471	V1	0.893463	0	MSL-
SRR20748484	V1	0.925863	0	MSL-
SRR7970024	V1	0.99988	0	MSL-
SRR7970026	V1	0.99988	0	MSL-
SRR10478767	V2	0.99988	2	MSL+
SRR10478769	V2	0.749224	0	MSL-
SRR10478771	V2	0.99988	4	MSL+
SRR10478772	V2	0.99988	3	MSL+
SRR10478773	V2	0.942817	0	MSL-
SRR10478774	V2	0.99988	0	MSL-
SRR10478775	V2	0.97394	0	MSL-
SRR10478776	V2	0.897128	1	MSL+
SRR10478777	V2	0.99988	4	MSL+
SRR10478778	V2	0.942531	3	MSL+
SRR10478779	V2	0.99988	0	MSL-
SRR10478780	V2	0.535737	0	MSL-
SRR10478781	V2	0.99988	4	MSL+
SRR10478782	V2	0.99988	2	MSL+
SRR10478783	V2	0.99988	4	MSL+
SRR10478784	V2	0.99988	4	MSL+
SRR10478786	V2	0.99988	4	MSL+
SRR10478787	V2	0.99988	0	MSL-
SRR10478788	V2	0.667457	2	MSL+
SRR10478789	V2	0.99988	2	MSL+
SRR10478790	V2	0.99988	0	MSL-
SRR10478792	V2	0.99988	2	MSL+
SRR10478793	V2	0.99988	4	MSL+
SRR10478795	V2	0.99988	0	MSL-
SRR10478796	V2	0.99988	0	MSL-
SRR12506691	V2	0.597406	2	MSL+
SRR13744593	V2	0.99988	4	MSL+
SRR13744604	V2	0.99988	3	MSL+
SRR13744613	V2	0.362662	0	MSL-
SRR13744615	V2	0.942817	0	MSL-
SRR13744626	V2	0.99988	0	MSL-
SRR13744637	V2	0.97394	0	MSL-
SRR13744641	V2	0.843992	4	MSL+
SRR13744642	V2	0.999874	0	MSL-
SRR13744643	V2	0.99988	0	MSL-
SRR13744644	V2	0.858132	0	MSL-
SRR13744645	V2	0.969906	4	MSL+
SRR13744646	V2	0.987138	0	MSL-
SRR13744647	V2	0.99988	0	MSL-
SRR13744648	V2	0.99988	0	MSL-
SRR13744649	V2	0.892794	4	MSL+
SRR13744650	V2	0.949755	4	MSL+
SRR13744651	V2	0.973362	0	MSL-
SRR13744652	V2	0.99988	3	MSL+
SRR13744653	V2	0.99988	4	MSL+
SRR13744654	V2	0.87356	4	MSL+
SRR13744655	V2	0.580781	0	MSL-
SRR13744656	V2	0.99988	0	MSL-
SRR13744657	V2	0.99988	0	MSL-
SRR13744658	V2	0.761967	0	MSL-
SRR13744660	V2	0.99988	4	MSL+
SRR13744661	V2	0.99988	4	MSL+
SRR13744662	V2	0.942527	3	MSL+
SRR13744663	V2	0.99988	0	MSL-
SRR13744664	V2	0.535737	0	MSL-
SRR13744665	V2	0.99988	4	MSL+
SRR13744666	V2	0.99988	2	MSL+
SRR13744667	V2	0.99988	4	MSL+
SRR13744668	V2	0.99988	4	MSL+
SRR13744669	V2	0.937754	4	MSL+
SRR13744671	V2	0.99988	4	MSL+
SRR13744672	V2	0.99988	2	MSL+
SRR13744673	V2	0.99988	0	MSL-
SRR13744674	V2	0.963449	4	MSL+
SRR13744675	V2	0.99988	2	MSL+
SRR13744676	V2	0.99988	4	MSL+
SRR13744677	V2	0.99988	0	MSL-
SRR13744678	V2	0.99988	0	MSL-
SRR13744679	V2	0.99988	2	MSL+
SRR16972320	V2	0.546355	3	MSL+
SRR7970033	V2	0.533881	4	MSL+
ERR3550142	V3	0.99988	3	MSL+
SRR11098642	V3	0.99988	4	MSL+
SRR11098643	V3	0.99988	4	MSL+
SRR11098644	V3	0.99988	4	MSL+
SRR11098645	V3	0.971294	4	MSL+
