"Population","N","p_normal","q_deletion","Chi_square","df","P_value","Significant","Test_reliable","Test_performed","Test_type","Testable_classes","P_value_formatted"
"LO1",10,1,0,NA,NA,NA,NA,FALSE,FALSE,"No test - monomorphic",1,"NA"
"LO2",27,0.1111,0.8889,8.0527,1,0.00454365382128365,TRUE,TRUE,TRUE,"Chi-square test",3,"0.0045"
"LO3",13,0.9423,0.0577,0.1017,1,0.74982244157586,FALSE,FALSE,TRUE,"Chi-square test",2,"0.7498"
"LO4",21,0.9167,0.0833,4.2561,1,0.0391099279130155,TRUE,FALSE,TRUE,"Chi-square test",2,"0.0391"
"LO5",9,0.9167,0.0833,0.2254,1,0.634980376249006,FALSE,FALSE,TRUE,"Chi-square test (small sample - interpret cautiously)",2,"0.6350"
"LO6",79,0.4968,0.5032,280.4491,3,1.69299306442693e-60,TRUE,TRUE,TRUE,"Chi-square test",5," 1.69e-60"
"LO7",107,0.5374,0.4626,531.6527,3,6.58643364804333e-115,TRUE,TRUE,TRUE,"Chi-square test",5,"6.59e-115"
"LO8",20,0.925,0.075,0.3579,1,0.549702513164256,FALSE,FALSE,TRUE,"Chi-square test",2,"0.5497"
"LO9",18,0.9583,0.0417,0.0512,1,0.821053192601104,FALSE,FALSE,TRUE,"Chi-square test",2,"0.8211"
"LO10",76,0.0263,0.9737,7.7069,1,0.0055011381514313,TRUE,FALSE,TRUE,"Chi-square test",2,"0.0055"
"LO11",65,0.0231,0.9769,5.8374,1,0.0156885614176956,TRUE,FALSE,TRUE,"Chi-square test",2,"0.0157"
"LO12",2,1,0,NA,NA,NA,NA,FALSE,FALSE,"No test - monomorphic",1,"NA"
