"Population","N","p_normal","q_deletion","Chi_square","df","P_value","Significant","Test_reliable","Test_performed","Test_type","Testable_classes","P_value_formatted"
"AM1",24,0.0417,0.9583,3.896,1,0.0484013026435346,TRUE,FALSE,TRUE,"Chi-square test",2,"0.0484"
"AM2",63,0.5198,0.4802,225.3549,3,1.3967011037201e-48,TRUE,TRUE,TRUE,"Chi-square test",5,"1.40e-48"
"AM3",20,0.1125,0.8875,10.051,1,0.00152267844878954,TRUE,TRUE,TRUE,"Chi-square test",3,"0.0015"
"AM4",17,0.9559,0.0441,0.0577,1,0.810217444471485,FALSE,FALSE,TRUE,"Chi-square test",2,"0.8102"
"AM5",16,0.2656,0.7344,8.9738,1,0.00273877324927115,TRUE,TRUE,TRUE,"Chi-square test",3,"0.0027"
"AM6",38,0.0592,0.9408,8.4136,1,0.00372428433587556,TRUE,FALSE,TRUE,"Chi-square test",2,"0.0037"
"AM7",28,0.0804,0.9196,8.2344,1,0.00411034136776311,TRUE,FALSE,TRUE,"Chi-square test",2,"0.0041"
"AM8",57,0.943,0.057,0.8545,1,0.355279202916162,FALSE,FALSE,TRUE,"Chi-square test",2,"0.3553"
"AM9",20,0,1,NA,NA,NA,NA,FALSE,FALSE,"No test - monomorphic",1,"NA"
"AM10",34,0.0809,0.9191,10.5723,1,0.00114795878637666,TRUE,TRUE,TRUE,"Chi-square test",3,"0.0011"
"AM11",48,0,1,NA,NA,NA,NA,FALSE,FALSE,"No test - monomorphic",1,"NA"
"AM12",3,0,1,NA,NA,NA,NA,FALSE,FALSE,"No test - monomorphic",1,"NA"
"AM13",2,1,0,NA,NA,NA,NA,FALSE,FALSE,"No test - monomorphic",1,"NA"
