"Population","N","p_normal","q_deletion","Chi_square","df","P_value","Significant","Test_reliable","Test_performed","Test_type","Testable_classes","P_value_formatted"
"LI1",44,0.0625,0.9375,8.2371,1,0.00410421533612384,TRUE,FALSE,TRUE,"Chi-square test",2,"0.0041"
"LI2",70,0.4821,0.5179,255.4147,3,4.41213304494476e-55,TRUE,TRUE,TRUE,"Chi-square test",5,"4.41e-55"
"LI3",16,0.9531,0.0469,0.0655,1,0.797998644750034,FALSE,FALSE,TRUE,"Chi-square test",2,"0.7980"
"LI4",25,0.85,0.15,11.8701,1,0.000570424424296385,TRUE,TRUE,TRUE,"Chi-square test",3,"5.70e-04"
"LI5",20,0.9625,0.0375,0.0411,1,0.83941374178844,FALSE,FALSE,TRUE,"Chi-square test",2,"0.8394"
"LI6",57,0.0395,0.9605,8.5949,1,0.0033710715648029,TRUE,FALSE,TRUE,"Chi-square test",2,"0.0034"
"LI7",9,0.9167,0.0833,0.2254,1,0.634980376249006,FALSE,FALSE,TRUE,"Chi-square test (small sample - interpret cautiously)",2,"0.6350"
"LI8",9,0.9167,0.0833,0.2254,1,0.634980376249006,FALSE,FALSE,TRUE,"Chi-square test (small sample - interpret cautiously)",2,"0.6350"
"LI9",19,0.3289,0.6711,17.7452,2,0.000140175958133792,TRUE,TRUE,TRUE,"Chi-square test",4,"1.40e-04"
"LI10",46,0.0326,0.9674,5.6147,1,0.0178109099034966,TRUE,FALSE,TRUE,"Chi-square test",2,"0.0178"
"LI11",54,0.0417,0.9583,8.5741,1,0.00340985747941753,TRUE,FALSE,TRUE,"Chi-square test",2,"0.0034"
"LI12",67,0.8843,0.1157,9.2145,1,0.00240099709704472,TRUE,TRUE,TRUE,"Chi-square test",3,"0.0024"
"LI13",13,0.9423,0.0577,0.1017,1,0.74982244157586,FALSE,FALSE,TRUE,"Chi-square test",2,"0.7498"
