window_start	window_end	window_mid	n_snps	median_chisq	median_OR	median_neg_log10p	median_prop_1111_obs	median_prop_0000_obs	median_prop_1111_exp	median_prop_0000_exp	mean_n_samples	population	subset
31	10030	5030.5	140	347.997914782956	0	76.93687445062517	0	1	0.996005996001	1.0000000000000036e-12	310.15714285714284	POOLED	AM
5031	15030	10030.5	118	350.997896806947	0	77.59016568925662	0	1	0.996005996001	1.0000000000000036e-12	337.8898305084746	POOLED	AM
10031	20030	15030.5	124	350.997896806947	0	77.59016568925662	0	1	0.996005996001	1.0000000000000036e-12	336.7096774193548	POOLED	AM
15031	25030	20030.5	89	351.997890814944	0	77.80792593644868	0	1	0.996005996001	1.0000000000000036e-12	342.9438202247191	POOLED	AM
20031	30030	25030.5	77	352.4978878189425	0	77.91680519352042	0	1	0.996005996001	1.0000000000000036e-12	343.2987012987013	POOLED	AM
25031	35030	30030.5	108	350.997896806947	0	77.59016568925662	0	1	0.996005996001	1.0000000000000036e-12	345.89814814814815	POOLED	AM
30031	40030	35030.5	117	351.997890814944	0	77.80792593644868	0	1	0.996005996001	1.0000000000000036e-12	347.9145299145299	POOLED	AM
35031	45030	40030.5	78	350.997896806947	0	77.59016568925662	0	1	0.996005996001	1.0000000000000036e-12	344.4102564102564	POOLED	AM
40031	50030	45030.5	80	350.4978998029485	0	77.48128469421914	0	1	0.996005996001	1.0000000000000036e-12	342.075	POOLED	AM
45031	55030	50030.5	108	352.997884822941	0	78.02568445059217	0	1	0.996005996001	1.0000000000000036e-12	346.75	POOLED	AM
50031	60030	55030.5	110	352.997884822941	0	78.02568445059217	0	1	0.996005996001	1.0000000000000036e-12	346.03636363636366	POOLED	AM
55031	65030	60030.5	97	352.9968217759981	0	78.02545296259808	0	1	0.996005996001	1.0000000000000036e-12	342.659793814433	POOLED	AM
60031	70030	65030.5	96	351.997890814944	9.933382235594836e-9	77.80792593644868	0	1	0.996005996001	1.0000000000000036e-12	343.8229166666667	POOLED	AM
65031	75030	70030.5	122	350.997896806947	9.933382235594836e-9	77.59016568925662	0	1	0.996005996001	1.0000000000000036e-12	344.11475409836066	POOLED	AM
70031	80030	75030.5	123	352.997884822941	9.486531567731964e-12	78.02568445059217	0	1	0.996005996001	1.0000000000000036e-12	346.3170731707317	POOLED	AM
75031	85030	80030.5	90	353.997878830938	9.068213742446893e-8	78.24344124143836	0	1	0.996005996001	1.0000000000000036e-12	348.25555555555553	POOLED	AM
80031	90030	85030.5	86	352.41093933188716	9.06726508929012e-8	77.89787136874797	0	1	0.996005996001	1.0000000000000036e-12	347.8720930232558	POOLED	AM
85031	95030	90030.5	106	352.8239878488303	0	77.98781680104726	0	1	0.996005996001	1.0000000000000036e-12	339.4622641509434	POOLED	AM
90031	100030	95030.5	129	350.997896806947	0	77.59016568925662	0	1	0.996005996001	1.0000000000000036e-12	333.2015503875969	POOLED	AM
95031	105030	100030.5	164	349.99790279895	0.0011660232750843966	77.37240369918166	0	1	0.996005996001	1.0000000000000036e-12	333.0609756097561	POOLED	AM
100031	110030	105030.5	134	348.997908790953	0.0023320465501687933	77.15463995630556	0	1	0.996005996001	1.0000000000000036e-12	336.5223880597015	POOLED	AM
105031	115030	110030.5	88	350.997896806947	0.24160959182277858	77.59016568925662	0	1	0.996005996001	1.0000000000000036e-12	345.21590909090907	POOLED	AM
110031	120030	115030.5	99	350.997896806947	9.343526677343342e-5	77.59016568925662	0	1	0.996005996001	1.0000000000000036e-12	346.85858585858585	POOLED	AM
115031	125030	120030.5	99	351.997890814944	1.8545354001830016e-7	77.80792593644868	0	1	0.996005996001	1.0000000000000036e-12	349.62626262626264	POOLED	AM
120031	130030	125030.5	67	352.9735671520637	0	78.02038905946759	0	1	0.996005996001	1.0000000000000036e-12	348.5970149253731	POOLED	AM
125031	135030	130030.5	88	350.997896806947	1.8826339092371194e-7	77.59016568925662	0	1	0.996005996001	1.0000000000000036e-12	346.25	POOLED	AM
130031	140030	135030.5	118	349.4979057949515	1.8826339092371194e-7	77.2635218277436	0	1	0.996005996001	1.0000000000000036e-12	339.5169491525424	POOLED	AM
135031	145030	140030.5	96	351.49789381094547	NA	77.69904581285266	0	1	0.996005996001	1.0000000000000036e-12	337.4583333333333	POOLED	AM
140031	150030	145030.5	138	353.997878830938	NA	78.24344124143836	0	1	0.996005996001	1.0000000000000036e-12	349.231884057971	POOLED	AM
145031	155030	150030.5	214	352.997884822941	0	78.02568445059217	0	1	0.996005996001	1.0000000000000036e-12	348.1682242990654	POOLED	AM
150031	160030	155030.5	199	351.997890814944	0	77.80792593644868	0	1	0.996005996001	1.0000000000000036e-12	345.70854271356785	POOLED	AM
155031	165030	160030.5	131	351.997890814944	0	77.80792593644868	0	1	0.996005996001	1.0000000000000036e-12	344.77862595419845	POOLED	AM
160031	170030	165030.5	95	352.997884822941	0	78.02568445059217	0	1	0.996005996001	1.0000000000000036e-12	343.77894736842103	POOLED	AM
165031	175030	170030.5	87	351.997890814944	0	77.80792593644868	0	1	0.996005996001	1.0000000000000036e-12	341.2298850574713	POOLED	AM
170031	180030	175030.5	81	352.4978878189425	0	77.91680519352042	0	1	0.996005996001	1.0000000000000036e-12	341.1604938271605	POOLED	AM
175031	185030	180030.5	94	348.997908790953	0	77.15463995630556	0	1	0.996005996001	1.0000000000000036e-12	337.25531914893617	POOLED	AM
180031	190030	185030.5	112	348.997908790953	0	77.15463995630556	0	1	0.996005996001	1.0000000000000036e-12	339.42857142857144	POOLED	AM
185031	195030	190030.5	101	350.997896806947	NA	77.59016568925662	0	1	0.996005996001	1.0000000000000036e-12	347.8712871287129	POOLED	AM
190031	200030	195030.5	80	352.997884822941	NA	78.02568445059217	0	1	0.996005996001	1.0000000000000036e-12	350.7125	POOLED	AM
195031	205030	200030.5	113	352.997884822941	0	78.02568445059217	0	1	0.996005996001	1.0000000000000036e-12	342.75221238938053	POOLED	AM
200031	210030	205030.5	114	352.997884822941	0	78.02568445059217	0	1	0.996005996001	1.0000000000000036e-12	339.7280701754386	POOLED	AM
205031	215030	210030.5	91	351.997890814944	0	77.80792593644868	0	1	0.996005996001	1.0000000000000036e-12	343.1868131868132	POOLED	AM
210031	220030	215030.5	103	350.997896806947	0	77.59016568925662	0	1	0.996005996001	1.0000000000000036e-12	346.93203883495147	POOLED	AM
215031	225030	220030.5	109	349.99790279895	3.964298964749575	77.37240369918166	0	1	0.996005996001	1.0000000000000036e-12	343.74311926605503	POOLED	AM
220031	230030	225030.5	84	350.4978998029485	7.92859792949915	77.48128469421914	0	1	0.996005996001	1.0000000000000036e-12	341.1547619047619	POOLED	AM
225031	235030	230030.5	51	353.99577068746476	NA	78.24298217793613	0	1	0.996005996001	1.0000000000000036e-12	350.05882352941177	POOLED	AM
230031	240030	235030.5	89	351.997890814944	0	77.80792593644868	0	1	0.996005996001	1.0000000000000036e-12	346.2134831460674	POOLED	AM
235031	245030	240030.5	105	350.997896806947	0	77.59016568925662	0	1	0.996005996001	1.0000000000000036e-12	343.64761904761906	POOLED	AM
240031	250030	245030.5	100	351.997890814944	0	77.80792593644868	0	1	0.996005996001	1.0000000000000036e-12	345.45	POOLED	AM
245031	255030	250030.5	99	352.997884822941	0	78.02568445059217	0	1	0.996005996001	1.0000000000000036e-12	346.77777777777777	POOLED	AM
250031	260030	255030.5	98	350.9941543973196	NA	77.5893507330483	0	1	0.996005996001	1.0000000000000036e-12	345.4183673469388	POOLED	AM
255031	265030	260030.5	104	349.99790279895	NA	77.37240369918166	0	1	0.996005996001	1.0000000000000036e-12	343.5480769230769	POOLED	AM
260031	270030	265030.5	87	349.99790279895	NA	77.37240369918166	0	1	0.996005996001	1.0000000000000036e-12	344.3448275862069	POOLED	AM
265031	275030	270030.5	80	351.48569461099123	0	77.69638930647017	0	1	0.996005996001	1.0000000000000036e-12	348.0625	POOLED	AM
270031	280030	275030.5	82	352.997884822941	0	78.02568445059217	0	1	0.996005996001	1.0000000000000036e-12	349.5975609756098	POOLED	AM
275031	285030	280030.5	87	349.9904125889794	0	77.3707725997285	0	1	0.996005996001	1.0000000000000036e-12	336.3333333333333	POOLED	AM
280031	290030	285030.5	86	349.9904125889794	1.3195624504448925e-7	77.3707725997285	0	1	0.996005996001	1.0000000000000036e-12	324.0813953488372	POOLED	AM
285031	295030	290030.5	91	351.49789381094547	5.199940369935924e-10	77.69904581285266	0	1	0.996005996001	1.0000000000000036e-12	331.0989010989011	POOLED	AM
290031	300030	295030.5	99	349.99790279895	8.20697421423861e-11	77.37240369918166	0	1	0.996005996001	1.0000000000000036e-12	335.75757575757575	POOLED	AM
295031	305030	300030.5	142	348.997908790953	8.20697421423861e-11	77.15463995630556	0	1	0.996005996001	1.0000000000000036e-12	340.6267605633803	POOLED	AM
300031	310030	305030.5	134	349.99790279895	NA	77.37240369918166	0	1	0.996005996001	1.0000000000000036e-12	345.2985074626866	POOLED	AM
305031	315030	310030.5	90	349.99790279895	NA	77.37240369918166	0	1	0.996005996001	1.0000000000000036e-12	328.14444444444445	POOLED	AM
310031	320030	315030.5	131	350.997896806947	NA	77.59016568925662	0	1	0.996005996001	1.0000000000000036e-12	333.7022900763359	POOLED	AM
315031	325030	320030.5	121	351.997890814944	3.004248948007329e-8	77.80792593644868	0	1	0.996005996001	1.0000000000000036e-12	338.46280991735534	POOLED	AM
320031	330030	325030.5	92	347.997914782956	1.1328033009132946e-10	76.93687445062517	0	1	0.996005996001	1.0000000000000036e-12	324.69565217391306	POOLED	AM
325031	335030	330030.5	108	348.997908790953	0	77.15463995630556	0	1	0.996005996001	1.0000000000000036e-12	329.81481481481484	POOLED	AM
330031	340030	335030.5	99	349.99790279895	0	77.37240369918166	0	1	0.996005996001	1.0000000000000036e-12	336.5050505050505	POOLED	AM
335031	345030	340030.5	84	349.99790279895	4.539070489969338e-10	77.37240369918166	0	1	0.996005996001	1.0000000000000036e-12	341.1309523809524	POOLED	AM
340031	350030	345030.5	67	345.997926766962	4.539070489969338e-10	76.50133811040844	0	1	0.996005996001	1.0000000000000036e-12	325.4029850746269	POOLED	AM
345031	355030	350030.5	34	339.49677331851797	0	75.08553511230292	0	1	0.996005996001	1.0000000000000036e-12	288.20588235294116	POOLED	AM
350031	360030	355030.5	8	284.99829227914506	0	63.21358461970647	0	0.9953216374269005	0.9950854273742646	2.7842603293605612e-12	222.375	POOLED	AM
355031	365030	360030.5	7	350.997896806947	0	77.59016568925662	0	1	0.996005996001	1.0000000000000036e-12	210	POOLED	AM
360031	370030	365030.5	13	287.4982772991375	0	63.758260028593305	0	1	0.996005996001	1.0000000000000036e-12	190.46153846153845	POOLED	AM
365031	375030	370030.5	54	340.997956726977	0	75.41246569379021	0	1	0.996005996001	1.0000000000000036e-12	223.40740740740742	POOLED	AM
370031	380030	375030.5	89	350.997896806947	NA	77.59016568925662	0	1	0.996005996001	1.0000000000000036e-12	276.80898876404495	POOLED	AM
375031	385030	380030.5	75	350.997896806947	NA	77.59016568925662	0	1	0.996005996001	1.0000000000000036e-12	336.70666666666665	POOLED	AM
380031	390030	385030.5	67	351.997890814944	NA	77.80792593644868	0	1	0.996005996001	1.0000000000000036e-12	347.2089552238806	POOLED	AM
385031	395030	390030.5	81	351.997890814944	NA	77.80792593644868	0	1	0.996005996001	1.0000000000000036e-12	349.0617283950617	POOLED	AM
390031	400030	395030.5	81	349.99790279895	0	77.37240369918166	0	1	0.996005996001	1.0000000000000036e-12	344.82716049382714	POOLED	AM
395031	405030	400030.5	80	350.4978998029485	0	77.48128469421914	0	1	0.996005996001	1.0000000000000036e-12	343.2375	POOLED	AM
400031	410030	405030.5	99	350.997896806947	NA	77.59016568925662	0	1	0.996005996001	1.0000000000000036e-12	343.6060606060606	POOLED	AM
405031	415030	410030.5	87	351.997890814944	0	77.80792593644868	0	1	0.996005996001	1.0000000000000036e-12	339.1034482758621	POOLED	AM
410031	420030	415030.5	67	350.997896806947	0	77.59016568925662	0	1	0.996005996001	1.0000000000000036e-12	332.7014925373134	POOLED	AM
415031	425030	420030.5	78	347.997914782956	5.3576821922288526e-8	76.93687445062517	0	1	0.996005996001	1.0000000000000036e-12	333.8974358974359	POOLED	AM
420031	430030	425030.5	91	350.4978998029485	5.3576821922288526e-8	77.48128469421914	0	1	0.996005996001	1.0000000000000036e-12	336.83516483516485	POOLED	AM
425031	435030	430030.5	96	351.49789381094547	NA	77.69904581285266	0	1	0.996005996001	1.0000000000000036e-12	339.7708333333333	POOLED	AM
430031	440030	435030.5	96	351.997890814944	NA	77.80792593644868	0	1	0.996005996001	1.0000000000000036e-12	346.3229166666667	POOLED	AM
435031	445030	440030.5	93	350.997896806947	0.1321373373773524	77.59016568925662	0	1	0.996005996001	1.0000000000000036e-12	339.6559139784946	POOLED	AM
440031	450030	445030.5	80	348.997908790953	0.1321373373773524	77.15463995630556	0	1	0.996005996001	1.0000000000000036e-12	335.525	POOLED	AM
445031	455030	450030.5	75	349.99790279895	1.4717088596385859	77.37240369918166	0	1	0.996005996001	1.0000000000000036e-12	343.16	POOLED	AM
450031	460030	455030.5	96	352.4968247719996	NA	77.91657370552633	0	1	0.996005996001	1.0000000000000036e-12	345.9895833333333	POOLED	AM
455031	465030	460030.5	93	352.997884822941	0	78.02568445059217	0	1	0.996005996001	1.0000000000000036e-12	340.0860215053763	POOLED	AM
