"Dataset","Population","N","Obs_1111","Exp_1111","Obs_1110","Exp_1110","Obs_1100","Exp_1100","Obs_1000","Exp_1000","Obs_0000","Exp_0000"
"AllSamples_k12","LO1",10,10,NA,0,NA,0,NA,0,NA,0,NA
"AllSamples_k12","LO2",27,1,0,2,0.13,0,1.58,2,8.43,22,16.86
"AllSamples_k12","LO3",13,10,10.25,3,2.51,0,0.23,0,0.01,0,0
"AllSamples_k12","LO4",21,18,14.83,1,5.39,1,0.74,0,0.04,1,0
"AllSamples_k12","LO5",9,6,6.35,3,2.31,0,0.32,0,0.02,0,0
"AllSamples_k12","LO6",79,28,4.81,7,19.5,11,29.62,2,20,31,5.06
"AllSamples_k12","LO7",107,48,8.92,8,30.73,6,39.68,2,22.77,43,4.9
"AllSamples_k12","LO8",20,14,14.64,6,4.75,0,0.58,0,0.03,0,0
"AllSamples_k12","LO9",18,15,15.18,3,2.64,0,0.17,0,0,0,0
"AllSamples_k12","LO10",76,1,0,0,0.01,2,0.3,0,7.38,73,68.31
"AllSamples_k12","LO11",65,0,0,2,0,0,0.2,0,5.59,63,59.2
"AllSamples_k12","LO12",2,2,NA,0,NA,0,NA,0,NA,0,NA
"Americas_k13","AM1",24,1,0,0,0.01,0,0.23,0,3.52,23,20.24
"Americas_k13","AM2",63,24,4.6,5,17,9,23.55,2,14.5,23,3.35
"Americas_k13","AM3",20,0,0,1,0.1,3,1.2,0,6.29,16,12.41
"Americas_k13","AM4",17,14,14.19,3,2.62,0,0.18,0,0.01,0,0
"Americas_k13","AM5",16,2,0.08,0,0.88,4,3.65,1,6.73,9,4.65
"Americas_k13","AM6",38,1,0,1,0.03,1,0.71,0,7.49,35,29.77
"Americas_k13","AM7",28,1,0,1,0.05,1,0.92,0,7,25,20.03
"Americas_k13","AM8",57,47,45.07,8,10.9,1,0.99,1,0.04,0,0
"Americas_k13","AM9",20,0,NA,0,NA,0,NA,0,NA,20,NA
"Americas_k13","AM10",34,1,0,1,0.07,2,1.13,0,8.54,30,24.26
"Americas_k13","AM11",48,0,NA,0,NA,0,NA,0,NA,48,NA
"Americas_k13","AM12",3,0,NA,0,NA,0,NA,0,NA,3,NA
"Americas_k13","AM13",2,2,NA,0,NA,0,NA,0,NA,0,NA
"Infantum_k13","LI1",44,1,0,2,0.04,0,0.91,1,9.06,40,33.99
"Infantum_k13","LI2",70,24,3.78,6,16.25,10,26.18,1,18.75,29,5.03
"Infantum_k13","LI3",16,13,13.2,3,2.6,0,0.19,0,0.01,0,0
"Infantum_k13","LI4",25,20,13.05,1,9.21,1,2.44,0,0.29,3,0.01
"Infantum_k13","LI5",20,17,17.16,3,2.67,0,0.16,0,0,0,0
"Infantum_k13","LI6",57,1,0,1,0.01,1,0.49,0,7.98,54,48.52
"Infantum_k13","LI7",9,6,6.35,3,2.31,0,0.32,0,0.02,0,0
"Infantum_k13","LI8",9,6,6.35,3,2.31,0,0.32,0,0.02,0,0
"Infantum_k13","LI9",19,4,0.22,0,1.82,4,5.55,1,7.55,10,3.85
"Infantum_k13","LI10",46,0,0,0,0.01,3,0.27,0,5.43,43,40.29
"Infantum_k13","LI11",54,1,0,1,0.01,1,0.52,0,7.92,51,45.55
"Infantum_k13","LI12",67,50,40.98,9,21.44,4,4.21,2,0.37,2,0.01
"Infantum_k13","LI13",13,10,10.25,3,2.51,0,0.23,0,0.01,0,0
"Infantum_k8","LI1",22,19,19.15,3,2.7,0,0.14,0,0,0,0
"Infantum_k8","LI2",20,17,13.87,1,5.32,1,0.77,0,0.05,1,0
"Infantum_k8","LI3",246,78,6.99,19,40.14,15,86.44,5,82.73,129,29.69
"Infantum_k8","LI4",121,2,0,0,0.1,10,2.3,1,24.09,108,94.5
"Infantum_k8","LI5",18,14,14.32,4,3.37,0,0.3,0,0.01,0,0
"Infantum_k8","LI6",11,9,9.13,2,1.74,0,0.12,0,0,0,0
"Infantum_k8","LI7",9,6,6.35,3,2.31,0,0.32,0,0.02,0,0
"Infantum_k8","LI8",13,10,10.25,3,2.51,0,0.23,0,0.01,0,0
