My_Population	Zeynep_V_Population	My_Population_Label	Sample_Count
1	V1	Brazil, Honduras & Colombia Major Cluster	33
2	V2	Brazil, Honduras & Panama Major Cluster	56
3	V3	North Africa & Europe Mixed Cluster (Tunisia, France, Israel)	13
4	V4	Western Europe & North Africa Cluster (France, Portugal, Tunisia)	11
5	V5	Americas Minor Mixed Cluster (Honduras, Panama, France)	13
6	V6	Southern Cone Major Cluster (Brazil, Uruguay)	33
7	V7	Europe & Americas Mixed Cluster (Spain, France, Brazil, Morocco)	8
8	V8	Middle East Cluster (Israel, Yemen)	8
9	V9	Brazil Minor Population Cluster	14
10	V10	Brazil-Paraguay Major Cluster	35
11	V11	Southern South America Cluster (Brazil, Uruguay, Paraguay)	32
12	V12	Brazil, Honduras & Panama Major Cluster 2	47
13	V13	Central & East Asia with Middle East Mix (Uzbekistan, China, Israel)	8
