window_start	window_end	window_mid	n_snps	median_chisq	median_OR	median_prop_1111_obs	median_prop_0000_obs	median_prop_1111_exp	median_prop_0000_exp	mean_n_samples	population	subset
31	10030	5030.5	140	418.99695754597633	0	0	0.9943019943019943	0.9906651746995985	3.008073889216207e-11	374.50714285714287	POOLED	LI
5031	15030	10030.5	118	420.9916353406717	0	0	0.997624689686301	0.996005996001	1.0000000000000036e-12	406.72033898305085	POOLED	LI
10031	20030	15030.5	124	420.49163833667313	0	0	1	0.996005996001	1.0000000000000036e-12	405.16129032258067	POOLED	LI
15031	25030	20030.5	89	424.99745339872504	0	0	1	0.996005996001	1.0000000000000036e-12	413.8988764044944	POOLED	LI
20031	30030	25030.5	77	424.99745339872504	0	0	0.9977011494252873	0.996005996001	1.0000000000000036e-12	414.23376623376623	POOLED	LI
25031	35030	30030.5	108	421.48281912858164	0	0	0.9951991710798986	0.9939173879243837	6.152043463711465e-12	416.94444444444446	POOLED	LI
30031	40030	35030.5	117	422.99746538273104	0	0	0.9953161592505855	0.9909605099462008	2.643903757924744e-11	419.2564102564103	POOLED	LI
35031	45030	40030.5	78	422.99746538273104	0	0	0.9963069636456734	0.9924161146461236	1.3080429372024297e-11	415.5128205128205	POOLED	LI
40031	50030	45030.5	80	420.965911042867	0	0	0.9929411764705882	0.98850256265859	6.945259330968982e-11	412.85	POOLED	LI
45031	55030	50030.5	108	422.48768120607247	0	0	0.9929411764705882	0.9891165076785181	5.669816821288386e-11	417.75	POOLED	LI
50031	60030	55030.5	110	423.93703625561875	6.1685111453626225e-12	0	0.9930875576036866	0.9907298749658346	2.9256348922733553e-11	416.53636363636366	POOLED	LI
55031	65030	60030.5	97	423.96831036501214	0	0	0.9947089947089947	0.9906433391513974	3.036418323808053e-11	413.1340206185567	POOLED	LI
60031	70030	65030.5	96	423.96260561148387	0	0	0.990632318501171	0.986183208505744	1.4536281340352061e-10	415.1145833333333	POOLED	LI
65031	75030	70030.5	122	421.997471374734	0	0	0.9906868325472977	0.9862780045561892	1.4139399306883113e-10	415.0081967213115	POOLED	LI
70031	80030	75030.5	123	424.94388311174436	0	0	0.9952941176470588	0.9909194685248185	2.692414489134102e-11	417.6260162601626	POOLED	LI
75031	85030	80030.5	90	424.99696476042504	0	0	0.9976413913565894	0.9956921988613954	1.3972532382770245e-12	420.1666666666667	POOLED	LI
80031	90030	85030.5	86	423.997459390728	0	0	0.995321631027162	0.9952746620343934	1.9614590539477666e-12	419.1744186046512	POOLED	LI
85031	95030	90030.5	106	421.99645111046294	0	0	0.9972058125325923	0.9953623204172883	1.8196725869470188e-12	407.811320754717	POOLED	LI
90031	100030	95030.5	129	420.9974773667371	0	0	0.9974937343358395	0.996005996001	1.0000000000000036e-12	400.6589147286822	POOLED	LI
