"Population","AM_notation","q_del","MSL0_available","MSL4_available","MSL0_chr31_median","MSL0_genome_median","MSL0_chr31_n_windows","MSL0_chr31_most_neg","MSL4_chr31_median","MSL4_genome_median","MSL4_chr31_n_windows","MSL4_chr31_most_neg"
"V1","AM1",1,TRUE,FALSE,-2.557,-0.992,31,TRUE,NA,NA,NA,NA
"V2","AM2",0.3533,TRUE,TRUE,0.338,1.829,2,FALSE,-1.006,1.389,11,TRUE
"V3","AM3",1,TRUE,FALSE,-2.415,-0.052,31,TRUE,NA,NA,NA,NA
"V4","AM4",0.0417,FALSE,TRUE,NA,NA,NA,NA,-2.567,0.102,31,TRUE
"V5","AM5",0.8036,TRUE,TRUE,-2.347,-0.109,31,TRUE,-0.854,NA,30,TRUE
"V6","AM6",1,TRUE,FALSE,-2.363,-0.379,31,TRUE,NA,NA,NA,NA
"V7","AM7",1,TRUE,FALSE,-2.18,0.87,30,TRUE,NA,NA,NA,NA
"V8","AM8",0.05,FALSE,TRUE,NA,NA,NA,NA,-2.554,-1.814,31,TRUE
"V9","AM9",1,TRUE,FALSE,-2.416,0.66,31,TRUE,NA,NA,NA,NA
"V10","AM10",1,TRUE,FALSE,-2.529,-0.805,31,TRUE,NA,NA,NA,NA
"V11","AM11",1,TRUE,FALSE,-2.576,-1.538,31,TRUE,NA,NA,NA,NA
"V12","AM12",1,TRUE,FALSE,-1.318,0.233,31,TRUE,NA,NA,NA,NA
"V13","AM13",0,FALSE,TRUE,NA,NA,NA,NA,-1.232,0.04,31,TRUE
