sra_run_accession	source_geographic_region	source_country	coverage	coverage_rounded
SRR20748453	Central.East.Asia	China	3.0134487790007336	3
SRR20748474	Europe	Yugoslavia	3.358497159932674	3
SRR20748481	Middle.East	Israel	3.233945605404588	3
SRR20748334	Middle.East	Syrian Arab Republic	2.80775382059754	3
ERR205736	Central.East.Asia	China	3.19555932244523	3
ERR205760	Europe	France	3.4075326138541935	3
ERR3550144	Europe	France	3.476167279937198	3
ERR271200	Europe	Portugal	1.640389305649129	2
ERR3550132	Europe	Spain	3.314594719378618	3
ERR205785	Middle.East	Israel	3.4314408581340214	3
ERR304753	Middle.East	Israel	3.445640739789152	3
ERR205797	Middle.East	Palestine	3.410684159208023	3
ERR3550134	Middle.East	Turkiye	3.4582297395722796	3
ERR3550142	North.Africa	Tunisia	3.0566913661817408	3
